date,ndci,ndvi,evi,ndwi,b1,b2,b5,density_mean,density_lower,density_upper
2024-04-17,0.0008677730802446604,-0.0005378657369874418,0.006274312734603882,0.1597079187631607,9301.0,9291.0,6732.0,10009091.0,9677909.281156998,10340272.718843002
2024-04-18,0.008980545331723988,0.003567789011867717,-0.11065918207168579,0.11474939808249474,7786.5,7830.0,6135.0,9927272.75,9618063.962067273,10236481.537932727
2024-04-19,0.017093317583203316,0.007673443760722876,-0.22759267687797546,0.06979087740182877,6272.0,6369.0,5538.0,9845454.5,9558218.642977549,10132690.357022451
2024-04-20,0.04668403882533312,-0.14013579417951405,0.28008608520030975,0.18931565061211586,3651.5,3469.5,2919.5,9382048.833333332,9170389.426527819,9593708.240138847
2024-04-21,0.07627476006746292,-0.287945032119751,0.787764847278595,0.30884042382240295,1031.0,570.0,301.0,8918643.166666666,8782560.210078089,9054726.123255244
2024-04-22,-0.009384587407112122,0.009728340432047844,-0.06502269953489304,0.033536870032548904,5395.0,5501.0,5144.0,8695652.166666666,8604931.317883493,8786373.015449839
2024-04-23,0.005260004196316004,0.003516540862619877,-0.0559469535946846,0.0667312741279602,7651.0,7705.0,6741.0,8992753.666666666,8852871.182721848,9132636.150611484
2024-04-24,-0.012356374179944396,0.007897530682384968,-0.06772390380501747,0.058734677731990814,7003.0,7109.0,6312.5,8927536.25,8665961.157707296,9189111.342292704
2024-04-25,-0.029972752556204796,0.012278520502150059,-0.07950085401535034,0.05073808133602142,6355.0,6513.0,5884.0,8862318.833333334,8479051.132692747,9245586.533973921
2024-04-26,0.039227280765771866,-0.040770333260297775,0.7153127193450928,0.01451787631958723,2540.0,2341.0,2274.0,8963768.333333334,8713458.604862971,9214078.061803697
2024-04-27,-0.0035015447065234184,-0.0007126132259145379,0.008173750713467598,0.022713065147399902,4915.0,4908.0,4690.0,8753623.333333334,8544112.383457841,8963134.283208827
2024-04-28,0.015346329659223557,0.005193905904889107,-0.11882756650447845,0.13501890003681183,8619.0,8709.0,6637.0,9413043.5,9272585.750278927,9553501.249721073
2024-04-29,0.015343163162469864,0.006179048679769039,-0.2571770250797272,0.036335378885269165,6916.0,7002.0,6511.0,9028985.166666666,8714205.904992394,9343764.428340938
2024-04-30,-0.043806564062833786,-0.006706752814352512,0.029980357736349106,0.1755850613117218,8706.0,8590.0,6024.0,9304347.666666666,8881683.34204825,9727011.991285082
2024-05-01,0.08196721225976944,-0.046137046068906784,-1.8861607313156128,0.013929192908108234,1916.0,1747.0,1699.0,8971014.5,8641213.732082166,9300815.267917834
2024-05-02,-0.010151677764952183,0.030995875597000122,-0.24565663933753967,0.024355972185730934,4111.0,4374.0,4166.0,8869565.166666666,8460876.819754183,9278253.513579149
2024-05-03,0.09492089599370956,-0.23727905750274658,2.1736996173858643,0.30283623933792114,1155.0,712.0,381.0,9457971.0,9042779.667417794,9873162.332582206
2024-05-04,-0.0037766543682664633,-0.0028690204489976168,0.025076765567064285,0.11336296796798706,8564.0,8515.0,6781.0,9623188.166666666,9417172.950709412,9829203.38262392
2024-05-05,0.008407427929341793,-0.0020679468289017677,0.04066929966211319,0.13469935953617096,8480.0,8445.0,6440.0,8644927.333333334,8376872.206127897,8912982.460538771
2024-05-06,-0.005640469957143068,-0.00563463568687439,0.05221698433160782,0.11089524626731873,6296.5,6241.5,4915.5,8865072.366666667,8226430.114350535,9503714.6189828
2024-05-07,-0.01968836784362793,-0.009201324544847012,0.06376466900110245,0.08709113299846649,4113.0,4038.0,3391.0,9085217.4,8075988.022573173,10094446.777426828
2024-05-08,0.025561686605215073,-0.05791665567085147,0.8249190934002399,0.09095592424273491,2482.0,2362.5,1979.5,9212898.533333333,8552925.938103152,9872871.128563514
2024-05-09,0.07081174105405807,-0.10663198679685593,1.5860735177993774,0.09482071548700333,851.0,687.0,568.0,9340579.666666666,9029863.853633132,9651295.4797002
2024-05-10,0.08578856289386749,-0.2333882451057434,2.234489917755127,0.5173913240432739,1123.0,698.0,222.0,9246376.833333334,8871894.161683736,9620859.504982932
2024-05-11,0.01925407350063324,-0.10066225379705429,1.0444872230291367,0.2916075624525547,3052.0,3004.5,2438.5,8548913.166666668,8211589.134152189,8886237.199181145
2024-05-12,-0.04728041589260101,0.03206373751163483,-0.14551547169685364,0.06582380086183548,4981.0,5311.0,4655.0,7851449.5,7551284.106620642,8151614.893379358
2024-05-13,0.004188535114129387,-0.06175174812475841,0.4627014994621277,0.1589267800251643,3658.0,3743.333333333333,3202.0,7983091.944444444,7712760.662020354,8253423.226868535
2024-05-14,0.055657486120859787,-0.15556723376115164,1.070918470621109,0.25202975918849313,2335.0,2175.6666666666665,1749.0,8114734.388888889,7874237.217420066,8355231.560357712
2024-05-15,0.10712643712759018,-0.24938271939754486,1.6791354417800903,0.3451327383518219,1012.0,608.0,296.0,8246376.833333333,8035713.772819777,8457039.89384689
2024-05-16,0.10574639216065407,-0.2716287299990654,4.316766321659088,0.45220161974430084,976.0,560.5,220.5,8639855.166666666,7799266.114467137,9480444.218866197
2024-05-17,0.10436634719371796,-0.29387474060058594,6.954397201538086,0.5592705011367798,940.0,513.0,145.0,9033333.5,7562818.456114495,10503848.543885505
2024-05-18,0.07777055725455284,-0.22745207697153091,4.724351167678833,0.3947295919060707,1259.5,827.0,429.5,8918840.75,7796687.926640492,10040993.573359508
2024-05-19,0.051174767315387726,-0.1610294133424759,2.49430513381958,0.23018868267536163,1579.0,1141.0,714.0,8804348.0,8030557.397166488,9578138.602833511
2024-05-20,0.034662116318941116,-0.10343491099774837,1.4456171244382858,0.16439929232001305,2175.5,1835.0,1394.5,8108695.916666666,7641143.751798525,8576248.081534807
2024-05-21,0.018149465322494507,-0.04584040865302086,0.3969291150569916,0.09860990196466446,2772.0,2529.0,2075.0,7413043.833333333,7251730.106430564,7574357.560236102
2024-05-22,0.005865102633833885,0.0022155405022203922,-0.04372267425060272,0.0685000866651535,6305.0,6333.0,5521.0,7152174.333333333,7083469.883046569,7220878.783620097
2024-05-23,0.016576667316257954,-0.10021624411456287,0.3336225226521492,0.21902578324079514,3970.0,3708.5,3010.0,8101449.416666666,7825459.980145615,8377438.853187718
2024-05-24,0.027288231998682022,-0.20264802873134613,0.7109677195549011,0.36955147981643677,1635.0,1084.0,499.0,9050724.5,8567450.07724466,9533998.92275534
2024-05-25,0.01738443225622177,0.015248093754053116,-1.0902591943740845,0.04174415022134781,7879.0,8123.0,7472.0,10250000.0,10128648.71927609,10371351.28072391
2024-05-26,0.09548022598028183,-0.13224367797374725,-1.259196400642395,0.0782865583896637,1905.0,1460.0,1248.0,11983333.333333334,11381521.476428611,12585145.190238057
2024-05-27,0.1448890008032322,-0.24151451140642166,-1.3228211402893066,0.20580995082855225,1468.5,978.0,748.0,12193299.833333334,10540057.729243943,13846541.937422724
2024-05-28,0.19429777562618256,-0.35078534483909607,-1.3864458799362183,0.3333333432674408,1032.0,496.0,248.0,12403266.333333334,9698593.982059276,15107938.684607392
2024-05-29,0.08151093125343323,-0.2047477811574936,5.103550434112549,0.33068519830703735,1015.0,670.0,337.0,7934924.666666667,7711750.565483419,8158098.767849915
2024-05-30,0.026349300518631935,0.02115420252084732,-4.7107439041137695,0.025626689195632935,5275.0,5503.0,5228.0,8036934.833333333,7751521.4294141345,8322348.237252532
2024-05-31,-0.024887021631002426,-0.004323899280279875,0.024291498586535454,0.1272808164358139,7665.0,7599.0,5883.0,7424874.166666667,7216835.74290202,7632912.590431314
