date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,density_mean,density_lower,density_upper
2023-09-12,43.88071060180664,114.59980010986328,45.40262222290039,8.493877410888672,0.0,0.0,0.0,0.0,212.37701034545898,114599800.10986328,11.789546966552734,0.0,0.375,-0.9999999952913925,24016666.666666668,21218408.65298903,26814924.680344306
2023-09-13,27.721906661987305,72.66651153564453,33.56201171875,6.197162628173828,0.0,0.0,0.0,0.0,140.14759254455566,72666511.53564453,7.385483211941189,0.0,0.375,-0.9999999928646652,31966666.666666668,22814541.628670786,41118791.70466255
2023-09-14,45.75181579589844,120.594482421875,33.349609375,6.073458194732666,0.0,0.0,0.0,0.0,205.7693657875061,120594482.421875,12.724558247460259,0.0,0.375,-0.9999999951401901,49866666.666666664,39767857.67198263,59965475.6613507
2023-09-15,15.288985252380371,40.42390823364258,36.539649963378906,6.558604717254639,0.0,0.0,0.0,0.0,98.8111481666565,40423908.23364258,3.7628115018208823,0.0,0.375,-0.9999999898796845,29133333.333333332,21149824.553076092,37116842.11359057
2023-09-16,39.11333084106445,104.02384185791016,168.20716857910156,29.662181854248047,0.0,0.0,0.0,0.0,341.0065231323242,168207168.57910156,15.393887413872612,0.0,0.25,-0.9999999970675048,25980000.0,21041577.83902591,30918422.16097409
2023-09-17,109.45015716552734,289.287109375,295.9459533691406,54.695770263671875,0.0,0.0,0.0,0.0,749.3789901733398,295945953.3691406,26.80557590060764,0.0,0.375,-0.9999999986655618,22860000.0,17801984.642174363,27918015.357825637
2023-09-18,182.60511779785156,396.2097473144531,315.46038818359375,57.600215911865234,0.0,0.0,0.0,0.0,951.8754692077637,396209747.3144531,37.62328126695421,0.0,0.375,-0.9999999989494424,21866666.666666668,20189240.490115885,23544092.84321745
2023-09-19,93.8646011352539,253.28524780273438,341.89068603515625,70.10366821289062,0.0,0.0,0.0,0.0,759.1442031860352,341890686.03515625,30.198557535807293,0.0,0.25,-0.9999999986827273,20550000.0,18831783.01719486,22268216.98280514
2023-09-20,57.32835006713867,155.9053955078125,36.19434356689453,6.0052714347839355,0.0,0.0,0.0,0.0,255.43336057662964,155905395.5078125,16.655569341447617,0.0,0.375,-0.9999999960850846,22680000.0,20705938.44067618,24654061.55932382
2023-09-21,48.06064987182617,131.33157348632812,54.34965896606445,8.861924171447754,0.0,0.0,0.0,0.0,242.6038064956665,131331573.48632812,13.607738812764486,0.0,0.375,-0.9999999958780532,24303333.333333332,22074767.02269823,26531899.643968433
2023-09-22,16.83357048034668,46.167701721191406,31.585222244262695,5.062283515930176,0.0,0.0,0.0,0.0,99.64877796173096,46167701.721191406,4.56726868947347,0.0,0.375,-0.9999999899647541,25926666.666666668,23443595.604720287,28409737.72861305
2023-09-23,17.821889877319336,49.17647171020508,30.90235710144043,4.8632988929748535,0.0,0.0,0.0,0.0,102.7640175819397,49176471.71020508,4.923685868581136,0.0,0.375,-0.9999999902689676,27550000.0,24812424.18674234,30287575.81325766
2023-09-24,30.34941291809082,84.27220153808594,59.65485763549805,9.199769973754883,0.0,0.0,0.0,0.0,183.4762420654297,84272201.53808594,8.341381284925673,0.0,0.375,-0.9999999945497031,19016666.666666668,16523320.33871479,21510012.994618546
2023-09-25,62.75852966308594,175.76956176757812,158.97174072265625,23.96077537536621,0.0,0.0,0.0,0.0,421.4606075286865,175769561.76757812,16.86764293246799,0.0,0.375,-0.9999999976272991,25316666.666666668,18298987.70247598,32334345.630857356
2023-09-26,105.290771484375,292.6623229980469,113.18970489501953,16.726320266723633,0.0,0.0,0.0,0.0,527.869119644165,292662322.9980469,30.659555859035915,0.0,0.375,-0.999999998105591,25750000.0,24446194.799826294,27053805.200173706
2023-09-27,59.91593551635742,169.9272918701172,179.36813354492188,25.880884170532227,0.0,0.0,0.0,0.0,435.0922451019287,179368133.54492188,17.05413881937663,0.0,0.375,-0.9999999977016368,27000000.0,24243893.374099374,29756106.625900626
2023-09-28,86.97799682617188,247.96435546875,129.0986785888672,18.24858283996582,0.0,0.0,0.0,0.0,482.2896137237549,247964355.46875,25.523974736531574,0.0,0.375,-0.999999997926557,21400000.0,20991993.464104638,21808006.535895362
2023-09-29,96.52943420410156,274.93939208984375,213.0636749267578,29.39759063720703,0.0,0.0,0.0,0.0,613.9300918579102,274939392.08984375,27.2824223836263,0.0,0.375,-0.9999999983711501,26483333.333333332,22654749.829680257,30311916.836986408
2023-09-30,12.170238494873047,35.115753173828125,29.112838745117188,3.939033269882202,0.0,0.0,0.0,0.0,80.33786368370056,35115753.173828125,3.464079989327325,0.0,0.375,-0.9999999875525694,25266666.666666668,24149103.7626454,26384229.570687935
2023-10-01,106.81753540039062,303.20465087890625,188.81503295898438,24.79185676574707,0.0,0.0,0.0,0.0,623.6290760040283,303204650.87890625,30.93475490146213,0.0,0.375,-0.9999999983964827,23950000.0,22116413.27811672,25783586.72188328
2023-10-02,95.79874420166016,277.9403991699219,71.59033203125,9.18989086151123,0.0,0.0,0.0,0.0,454.51936626434326,277940399.1699219,29.861167589823406,0.0,0.375,-0.9999999977998737,23950000.0,22108747.165650517,25791252.834349483
2023-10-03,28.8184757232666,85.07846069335938,30.31553840637207,3.839887857437134,0.0,0.0,0.0,0.0,148.05236268043518,85078460.69335938,9.026508092880249,0.0,0.375,-0.999999993245633,23866666.666666668,22081260.74332287,25652072.590010464
2023-10-04,46.45901107788086,138.42514038085938,228.1179656982422,28.331235885620117,0.0,0.0,0.0,0.0,441.33335304260254,228117965.6982422,22.198525534735786,0.0,0.25,-0.9999999977341391,23450000.0,22376762.033222206,24523237.966777794
2023-10-05,157.026123046875,368.5069274902344,282.1820068359375,36.085693359375,0.0,0.0,0.0,0.0,843.8007507324219,368506927.4902344,36.935692681206596,0.0,0.375,-0.9999999988148861,23650000.0,22226917.61775129,25073082.38224871
2023-10-06,61.72219467163086,186.890380859375,121.90473937988281,14.741012573242188,0.0,0.0,0.0,0.0,385.25832748413086,186890380.859375,19.12770758734809,0.0,0.375,-0.9999999974043391,19933333.333333332,18384506.106759053,21482160.55990761
2023-10-07,10.983044624328613,33.37885284423828,27.473976135253906,3.2802248001098633,0.0,0.0,0.0,0.0,75.11609840393066,33378852.84423828,3.3442920049031577,0.0,0.375,-0.9999999866872747,20450000.0,18464844.758379504,22435155.241620496
2023-10-08,100.02837371826172,298.236083984375,124.78628540039062,14.632284164428711,0.0,0.0,0.0,0.0,537.683027267456,298236083.984375,31.511533313327366,0.0,0.375,-0.9999999981401682,18716666.666666668,18050234.641292404,19383098.69204093
2023-10-09,67.17377471923828,206.6482696533203,255.1103515625,29.69007682800293,0.0,0.0,0.0,0.0,558.6224727630615,255110351.5625,25.046697192721897,0.0,0.25,-0.9999999982098823,18250000.0,16453808.54769506,20046191.45230494
2023-10-10,10.658361434936523,33.1581916809082,73.18895721435547,8.314743995666504,0.0,0.0,0.0,0.0,125.3202543258667,73188957.21435547,7.208245913187663,0.0,0.25,-0.999999992020444,18850000.0,17224459.925645225,20475540.074354775
2023-10-11,88.41853332519531,272.4850158691406,235.89305114746094,27.028295516967773,0.0,0.0,0.0,0.0,623.8248958587646,272485015.8691406,27.272968928019207,0.0,0.375,-0.9999999983969861,19016666.666666668,17102667.59549541,20930665.737837926
2023-10-12,90.49610137939453,274.7794494628906,97.5849609375,10.69406795501709,0.0,0.0,0.0,0.0,473.55457973480225,274779449.4628906,29.342820167541504,0.0,0.375,-0.999999997888311,18516666.666666668,16396350.862096246,20636982.47123709
2023-10-13,40.10244369506836,128.21908569335938,26.211353302001953,2.8220155239105225,0.0,0.0,0.0,0.0,197.3548982143402,128219085.69335938,13.933007796605429,0.0,0.375,-0.9999999949329862,17416666.666666668,14640461.214775342,20192872.118557993
2023-10-14,64.36366271972656,207.69769287109375,223.2919158935547,23.56838607788086,0.0,0.0,0.0,0.0,518.9216575622559,223291915.8935547,22.191503312852646,0.0,0.25,-0.9999999980729268,16266666.666666666,14907168.066283258,17626165.267050073
2023-10-15,105.40858459472656,309.3386535644531,238.51304626464844,24.8027286529541,0.0,0.0,0.0,0.0,678.0630130767822,309338653.5644531,31.615102767944336,0.0,0.375,-0.9999999985252108,17950000.0,16365144.759502202,19534855.240497798
2023-10-16,107.31112670898438,311.4033203125,245.11282348632812,25.19986343383789,0.0,0.0,0.0,0.0,689.0271339416504,311403320.3125,31.800384097629124,0.0,0.375,-0.9999999985486784,21466666.666666668,19994997.98414634,22938335.349186994
2023-10-17,93.74353790283203,290.66583251953125,235.67503356933594,23.554079055786133,0.0,0.0,0.0,0.0,643.6384830474854,290665832.51953125,29.6790837181939,0.0,0.375,-0.9999999984463328,19816666.666666668,18414737.551324368,21218595.78200897
2023-10-18,98.73294830322266,299.6462097167969,274.1706237792969,30.559206008911133,0.0,0.0,0.0,0.0,703.1089878082275,299646209.7167969,29.898555967542862,0.0,0.375,-0.9999999985777454,19200000.0,17170035.402607556,21229964.597392444
