date,ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,density_mean,density_lower,density_upper,FAI
2023-12-09,-0.0118506634607911,0.0200542956590652,-0.1794670820236206,0.0270699225366115,353.95880126953125,0.0044883303344249,5595.0,5824.0,5678.0,5545.0,5517.0,5014.0,3822.0,10760346.666666666,9355938.677662035,12164754.655671297,0.022566499444568493
2023-12-10,-0.0111278630793094,-0.0190497711300849,0.1110038608312606,0.0932281613349914,416.3145751953125,-0.0087886331602931,6767.0,6514.0,7042.0,6887.0,5403.0,3655.0,2071.0,9280970.0,8975306.933769401,9586633.0662306,0.018574960063986973
2023-12-11,-0.0046838405542075,-0.0023627968039363,0.0200109146535396,0.0647028461098671,520.1427001953125,-0.0009099181042984,9333.0,9289.0,9438.0,9350.0,8160.0,6710.0,4671.0,9408397.0,8810929.560635993,10005864.439364009,0.02076282095559839
2023-12-12,0.0164046473801136,-0.0025953284930437,0.0768018886446952,0.0281245708465576,108.11155700683594,0.0065473010763525,7533.0,7494.0,7195.0,7435.0,7084.0,6849.0,5482.0,8416333.333333334,7998212.150466746,8834454.516199922,0.008239816058353555
2023-12-13,0.0121603365987539,-0.0436294674873352,0.3743895888328552,-0.0178571436554193,-276.215087890625,-0.0104916067793965,3301.0,3025.0,3290.0,3371.0,3135.0,3302.0,2943.0,8274063.5,8002384.123393465,8545742.876606535,-0.03451732974005793
2023-12-14,0.0090946676209568,-0.2449957728385925,0.6409499645233154,0.3012633621692657,-504.01708984375,-0.0501183047890663,2208.0,1339.0,2397.0,2441.0,719.0,511.0,268.0,8759852.5,7744302.670268138,9775402.329731865,-0.1107304923097701
2023-12-15,0.0011014024494215,0.0005189413786865,-0.0045811519958078,0.0641015544533729,544.9035034179688,-0.0056055467575788,6741.0,6748.0,6802.0,6817.0,5935.0,4240.0,2521.0,8879709.666666666,8101106.937395623,9658312.39593771,0.02249311164451995
2023-12-16,-0.0275413114577531,-0.1446306705474853,0.3954514563083648,0.2642201781272888,-112.1276397705078,-0.0258848387748003,922.0,689.0,1026.0,971.0,401.0,360.0,221.0,10643907.333333334,9697885.470072385,11589929.196594285,-0.03204175427453599
2023-12-17,-0.0177484764717519,-0.0802648104727268,0.2472481206059456,0.1992548108100891,237.58592987060547,-0.0174480285495519,4502.5,4259.5,4694.0,4600.5,3188.5,2268.0,1215.5,8860003.333333334,8191661.764909348,9528344.90175732,0.027697815617147264
2023-12-18,-0.0079556414857506,-0.0158989503979682,0.0990447849035263,0.1342894434928894,587.2994995117188,-0.0090112183243036,8083.0,7830.0,8362.0,8230.0,5976.0,4176.0,2210.0,7076099.333333333,6685438.059746312,7466760.606920354,0.033309501463680474
2023-12-19,0.0277957338839769,0.007161377929151,72.5,0.05544413626194,470.6593017578125,0.0056907008402049,8041.0,8157.0,7520.0,7950.0,7300.0,6392.0,4262.0,8092815.833333333,6552315.041870133,9633316.624796534,0.024009740869411843
2023-12-20,0.04373952280730005,-0.1569843743927777,37.5669059753418,0.22690240293741226,-26.005523681640625,-0.00891935569234195,4850.5,4505.0,4532.0,4845.0,3833.5,3365.0,2235.0,11863074.583333334,10248026.039455615,13478123.127211053,0.0022557039696781715
2023-12-21,0.0596833117306232,-0.3211301267147064,2.6338119506835938,0.3983606696128845,-522.6703491210938,-0.0235294122248888,1660.0,853.0,1544.0,1740.0,367.0,338.0,208.0,15633333.333333334,13943737.037041098,17322929.62962557,-0.16697372988667517
2023-12-22,0.0278399800881743,-0.170514116063714,1.390602931380272,0.2381949238479137,-51.577880859375,-0.0138296582736074,3482.5,2975.5,3468.0,3544.5,2363.5,1365.0,750.0,12230492.916666668,11233567.849623932,13227417.9837094,-0.017262903256246645
2023-12-23,-0.0040033515542745,-0.0198981054127216,0.14739391207695,0.0780291780829429,419.51458740234375,-0.0041299043223261,5305.0,5098.0,5392.0,5349.0,4360.0,2392.0,1292.0,8827652.5,8523398.66220677,9131906.33779323,0.01320488914089308
2023-12-24,0.0689029665663838,-0.2232357654720544,15.197664126753809,0.261481549590826,-38.91908264160156,-0.0357792391441762,3264.5,2795.0,3222.5,3375.0,2274.5,1262.5,670.5,8359604.916666666,7970146.771721615,8749063.061611718,-0.019888508837004364
2023-12-25,0.1418092846870422,-0.4265734255313873,30.247934341430664,0.4449339210987091,-497.3527526855469,-0.0674285739660263,1224.0,492.0,1053.0,1401.0,189.0,133.0,49.0,7891557.333333333,7416894.88123646,8366219.785430206,-0.2677197853739071
2023-12-26,-0.008094809949398,0.012924744747579,-0.1261829584836959,0.0772641599178314,1240.1427001953125,0.0050944597460329,9470.0,9718.0,9527.0,9374.0,8324.0,4857.0,2806.0,8254781.0,7838583.266467393,8670978.733532608,0.035160893464293845
2023-12-27,0.0706799253821373,-0.3566433489322662,1.3804510831832886,0.3419772982597351,-616.8944702148438,-0.0658105909824371,1746.0,828.0,1729.0,1992.0,406.0,346.0,134.0,9399837.333333334,7534707.042505383,11264967.624161284,-0.20843207982197515
2023-12-28,0.0407780753448605,-0.1733235255815088,0.5774624273180962,0.1843882277607917,-192.9854278564453,-0.0296683185733854,4215.5,3824.0,4093.0,4295.5,3435.0,3292.5,2166.5,7859086.583333334,6680335.832753986,9037837.33391268,-0.014278316867489088
2023-12-29,0.0108762253075838,0.0099962977692484,-0.2255262285470962,0.0267991572618484,230.92361450195312,0.0064739538356661,6685.0,6820.0,6457.0,6599.0,6464.0,6239.0,4199.0,6318335.833333333,5825964.623002591,6810707.043664075,0.015975977509773517
2023-12-30,-0.0161610003560781,-0.0124029768630862,0.0661319196224212,0.1002941951155662,468.2884521484375,-0.0099381795153021,6326.0,6171.0,6665.0,6453.0,5046.0,3428.0,2228.0,7032433.0,6741857.698318657,7323008.301681343,0.02537003642243322
2023-12-31,0.0281059071421623,-0.0979881286621093,1.7493540048599243,0.203321099281311,-182.5417022705078,0.0009236047044396,3793.0,3116.0,3579.0,3786.0,2063.0,1494.0,790.0,12616627.833333334,9480223.271796618,15753032.39487005,-0.008713761166219074
2024-01-01,0.064188003540039,-0.3199152648448944,0.8006362915039062,0.2750744819641113,-393.8713684082031,-0.0980817973613739,1246.0,642.0,1334.0,1517.0,365.0,269.0,149.0,15583333.333333334,14901702.80454389,16264963.862122778,-0.18275700504692854
2024-01-02,-0.0012799999676644,0.0034401875454932,-0.0482667833566665,0.0295202955603599,124.43819427490234,0.0103844627737998,6373.0,6417.0,6258.0,6242.0,6049.0,5999.0,4683.0,18566666.666666668,17111624.246513754,20021709.08681958,0.012666705036154425
2024-01-03,0.0508940853178501,-0.0349703319370746,15.21977996826172,0.0321361050009727,-190.9698486328125,-0.0124081438407301,4099.0,3822.0,3795.0,4202.0,3584.0,3699.0,2921.0,22766666.666666668,21192418.006370448,24340915.32696289,-0.011863469616764636
2024-01-04,0.0202372651547193,0.0002242655318696,-0.0131233595311641,0.017683969810605,12.753768920898438,0.0081411125138401,4458.0,4460.0,4212.0,4386.0,4305.0,4408.0,3547.0,24616666.666666668,22905419.66196188,26327913.671371456,0.006434475377493473
2024-01-05,0.0303039411082863,-0.1148662626364966,0.2443813253194093,0.1624687099829316,-129.99446868896484,-0.0469283922575414,2869.5,2631.0,2831.0,2979.0,2365.0,2365.0,1845.5,25333333.333333336,22450783.307070084,28215883.35959658,-0.010725521350326488
2024-01-06,0.0403706170618534,-0.2299567908048629,0.5018860101699829,0.3072534501552582,-272.7427062988281,-0.101997897028923,1281.0,802.0,1450.0,1572.0,425.0,322.0,144.0,26050000.0,21996146.95217829,30103853.047821708,-0.09640305207058127
2024-01-07,-0.0064562410116195,-0.1694756597280502,0.4226996600627899,0.2572643458843231,-342.6713562011719,-0.05163249745965,2498.0,1774.0,2806.0,2770.0,1048.0,725.0,376.0,29200000.0,26380505.19891713,32019494.80108287,-0.05398962151697932
2024-01-08,-0.012234654277563,-0.023157425224781,0.119760476052761,0.0266791488975286,61.91959762573242,-0.0137368533760309,4595.0,4387.0,4840.0,4723.0,4159.0,3340.0,2251.0,24066666.666666668,20182546.425937183,27950786.907396156,-0.005800053551847211
2024-01-09,0.0208594072610139,-0.1782151460647583,0.5568660497665405,0.2226233482360839,-385.0582885742188,-0.0565630383789539,2185.0,1524.0,2347.0,2447.0,969.0,902.0,587.0,25616666.666666668,24315155.16929994,26918178.164033394,-0.06835964289071733
2024-01-10,-0.0003294892958365,-0.1490537971258163,0.3846575915813446,0.2382425814867019,-341.3939819335937,-0.0578800551593303,2702.0,2001.0,3036.0,3034.0,1231.0,1030.0,517.0,23683333.33333333,22330680.860925466,25035985.8057412,-0.04119241825317671
2024-01-11,0.0125619770925758,-0.1620732162679944,0.7870135733059475,0.256932978119169,-342.82169015066967,-0.0566929600068501,2521.428571428572,1841.0,2791.714285714286,2827.428571428572,1113.142857142857,951.7142857142856,463.7142857142857,22347619.047619045,21027409.05520841,23667829.04002968,-0.045104444279644884
2024-01-12,0.0254534434809881,-0.1750926354101726,1.1893695550305503,0.2756233747516359,-344.2493983677455,-0.0555058648543698,2340.8571428571427,1681.0,2547.428571428572,2620.8571428571427,995.2857142857142,873.4285714285714,410.4285714285714,21011904.76190476,19724137.24949136,22299672.27431817,-0.04971975930836881
2024-01-13,0.0383449098694005,-0.1881120545523507,1.591725536755153,0.294313771384103,-345.67710658482144,-0.0543187697018895,2160.285714285714,1521.0,2303.142857142857,2414.285714285714,877.4285714285714,795.1428571428571,357.1428571428571,19676190.47619048,18420865.443774305,20931515.50860665,-0.055246746380818224
2024-01-14,0.0512363762578128,-0.2011314736945288,1.994081518479756,0.3130041680165699,-347.1048148018973,-0.0531316745494093,1979.7142857142856,1361.0,2058.857142857143,2207.714285714286,759.5714285714286,716.8571428571429,303.8571428571429,18340476.19047619,17117593.63805725,19563358.74289513,-0.06198513507151607
